,name,model,seed,TN,FP,FN,TP,Accuracy,AUC,Sensitivity,Specificity,PPV,NPV,F1,MCC
85,xgboost_seed_19_skf_4_paras_151_lr_0.01_n_900_depth_7_subsample_0.8_scale_pos_weight_6,xgboost,19_skf_4,40,10,6,12,0.765,0.799,0.667,0.8,0.545,0.87,0.6,0.44
86,rf_seed_0_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,0_skf_0,40,10,7,11,0.75,0.76,0.611,0.8,0.524,0.851,0.564,0.393
87,rf_seed_0_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,0_skf_1,37,13,4,14,0.75,0.764,0.778,0.74,0.519,0.902,0.622,0.467
88,rf_seed_0_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,0_skf_2,38,12,8,10,0.706,0.762,0.556,0.76,0.455,0.826,0.5,0.298
89,rf_seed_0_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,0_skf_3,39,11,7,11,0.735,0.718,0.611,0.78,0.5,0.848,0.55,0.369
90,rf_seed_0_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,0_skf_4,36,14,6,12,0.706,0.739,0.667,0.72,0.462,0.857,0.545,0.351
91,rf_seed_1_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,1_skf_0,39,11,7,11,0.735,0.749,0.611,0.78,0.5,0.848,0.55,0.369
92,rf_seed_1_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,1_skf_1,37,13,7,11,0.706,0.733,0.611,0.74,0.458,0.841,0.524,0.324
93,rf_seed_1_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,1_skf_2,37,13,10,8,0.662,0.75,0.444,0.74,0.381,0.787,0.41,0.176
94,rf_seed_1_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,1_skf_3,39,11,4,14,0.779,0.774,0.778,0.78,0.56,0.907,0.651,0.51
95,rf_seed_1_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,1_skf_4,40,10,8,10,0.735,0.722,0.556,0.8,0.5,0.833,0.526,0.344
96,rf_seed_2_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,2_skf_0,35,15,6,12,0.691,0.762,0.667,0.7,0.444,0.854,0.533,0.331
97,rf_seed_2_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,2_skf_1,43,7,9,9,0.765,0.752,0.5,0.86,0.562,0.827,0.529,0.374
98,rf_seed_2_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,2_skf_2,40,10,8,10,0.735,0.774,0.556,0.8,0.5,0.833,0.526,0.344
99,rf_seed_2_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,2_skf_3,39,11,6,12,0.75,0.738,0.667,0.78,0.522,0.867,0.585,0.417
100,rf_seed_2_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,2_skf_4,34,16,5,13,0.691,0.712,0.722,0.68,0.448,0.872,0.553,0.359
101,rf_seed_3_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,3_skf_0,40,10,5,13,0.779,0.763,0.722,0.8,0.565,0.889,0.634,0.487
102,rf_seed_3_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,3_skf_1,40,10,9,9,0.721,0.69,0.5,0.8,0.474,0.816,0.486,0.295
103,rf_seed_3_skf_2_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,3_skf_2,35,15,6,12,0.691,0.764,0.667,0.7,0.444,0.854,0.533,0.331
104,rf_seed_3_skf_3_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,3_skf_3,39,11,8,10,0.721,0.767,0.556,0.78,0.476,0.83,0.513,0.32
105,rf_seed_3_skf_4_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,3_skf_4,34,16,7,11,0.662,0.74,0.611,0.68,0.407,0.829,0.489,0.262
106,rf_seed_4_skf_0_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,4_skf_0,40,10,9,9,0.721,0.707,0.5,0.8,0.474,0.816,0.486,0.295
107,rf_seed_4_skf_1_paras_148_estimator_500_depth_None_minSample_70_random_1_weight_balanced,rf,4_skf_1,38,12,5,13,0.75,0.744,0.722,0.76,0.52,0.884,0.605,0.441
