2026-02-04 14:09:40,548|INFO|__main__.startLogging|>>>> START LOGGING A GMTAMES EXPERIMENT
2026-02-04 14:09:47,876|INFO|nn.computeOptunaObjective|Trial 20 timings:|0.3247021249990212
2026-02-04 14:09:47,876|INFO|nn.computeOptunaObjective|Trial 20 objective:|0.5128918673330305
2026-02-04 14:09:48,040|INFO|nn.computeOptunaObjective|Trial 21 params:|{'n_layers': 3, 'architecture': 'outer', 'lr': 0.0001, 'n_epochs': 100}
2026-02-04 14:09:48,040|INFO|nn.computeOptunaObjective|Trial 21 balacc:|[0.5]
2026-02-04 14:09:48,040|INFO|nn.computeOptunaObjective|Trial 21 rocauc:|[0.685483870967742]
2026-02-04 14:09:48,040|INFO|nn.computeOptunaObjective|Trial 21 timings:|0.16354845800015028
2026-02-04 14:09:48,041|INFO|nn.computeOptunaObjective|Trial 21 objective:|0.5
2026-02-04 14:09:48,416|INFO|nn.computeOptunaObjective|Trial 22 params:|{'n_layers': 4, 'architecture': 'outer', 'lr': 0.0001, 'n_epochs': 200}
2026-02-04 14:09:48,416|INFO|nn.computeOptunaObjective|Trial 22 balacc:|[0.5090867787369378]
2026-02-04 14:09:48,416|INFO|nn.computeOptunaObjective|Trial 22 rocauc:|[0.7174011812812359]
2026-02-04 14:09:48,416|INFO|nn.computeOptunaObjective|Trial 22 timings:|0.3747281670002849
2026-02-04 14:09:48,416|INFO|nn.computeOptunaObjective|Trial 22 objective:|0.5090867787369378
2026-02-04 14:09:48,629|INFO|nn.computeOptunaObjective|Trial 23 params:|{'n_layers': 2, 'architecture': 'top', 'lr': 0.0001, 'n_epochs': 150}
2026-02-04 14:09:48,629|INFO|nn.computeOptunaObjective|Trial 23 balacc:|[0.5126079054975011]
2026-02-04 14:09:48,629|INFO|nn.computeOptunaObjective|Trial 23 rocauc:|[0.7002498864152658]
2026-02-04 14:09:48,629|INFO|nn.computeOptunaObjective|Trial 23 timings:|0.21277491700311657
2026-02-04 14:09:48,629|INFO|nn.computeOptunaObjective|Trial 23 objective:|0.5126079054975011
2026-02-04 14:09:48,988|INFO|nn.computeOptunaObjective|Trial 24 params:|{'n_layers': 4, 'architecture': 'inner', 'lr': 0.001, 'n_epochs': 200}
2026-02-04 14:09:48,988|INFO|nn.computeOptunaObjective|Trial 24 balacc:|[0.5360631531122217]
2026-02-04 14:09:48,988|INFO|nn.computeOptunaObjective|Trial 24 rocauc:|[0.7053044070876875]
2026-02-04 14:09:48,988|INFO|nn.computeOptunaObjective|Trial 24 timings:|0.35859124999842606
2026-02-04 14:09:48,988|INFO|nn.computeOptunaObjective|Trial 24 objective:|0.5360631531122217
2026-02-04 14:09:49,285|INFO|nn.computeOptunaObjective|Trial 25 params:|{'n_layers': 4, 'architecture': 'outer', 'lr': 0.001, 'n_epochs': 150}
2026-02-04 14:09:49,285|INFO|nn.computeOptunaObjective|Trial 25 balacc:|[0.5360631531122217]
2026-02-04 14:09:49,285|INFO|nn.computeOptunaObjective|Trial 25 rocauc:|[0.7063834620626988]
2026-02-04 14:09:49,285|INFO|nn.computeOptunaObjective|Trial 25 timings:|0.2956924159989285
2026-02-04 14:09:49,285|INFO|nn.computeOptunaObjective|Trial 25 objective:|0.5360631531122217
2026-02-04 14:09:49,534|INFO|nn.computeOptunaObjective|Trial 26 params:|{'n_layers': 2, 'architecture': 'outer', 'lr': 0.0001, 'n_epochs': 150}
2026-02-04 14:09:49,534|INFO|nn.computeOptunaObjective|Trial 26 balacc:|[0.5108473421172195]
2026-02-04 14:09:49,534|INFO|nn.computeOptunaObjective|Trial 26 rocauc:|[0.6898000908677874]
2026-02-04 14:09:49,534|INFO|nn.computeOptunaObjective|Trial 26 timings:|0.24891366699739592
2026-02-04 14:09:49,534|INFO|nn.computeOptunaObjective|Trial 26 objective:|0.5108473421172195
2026-02-04 14:09:49,759|INFO|nn.computeOptunaObjective|Trial 27 params:|{'n_layers': 3, 'architecture': 'top', 'lr': 0.001, 'n_epochs': 100}
2026-02-04 14:09:49,759|INFO|nn.computeOptunaObjective|Trial 27 balacc:|[0.5378237164925034]
2026-02-04 14:09:49,759|INFO|nn.computeOptunaObjective|Trial 27 rocauc:|[0.7137664697864607]
2026-02-04 14:09:49,759|INFO|nn.computeOptunaObjective|Trial 27 timings:|0.22408733300107997
2026-02-04 14:09:49,759|INFO|nn.computeOptunaObjective|Trial 27 objective:|0.5378237164925034
2026-02-04 14:09:49,997|INFO|nn.computeOptunaObjective|Trial 28 params:|{'n_layers': 2, 'architecture': 'outer', 'lr': 0.0001, 'n_epochs': 200}
2026-02-04 14:09:49,997|INFO|nn.computeOptunaObjective|Trial 28 balacc:|[0.5090867787369378]
2026-02-04 14:09:49,998|INFO|nn.computeOptunaObjective|Trial 28 rocauc:|[0.6995683780099954]
